#,Complex Name,Address,City,State,Zip,Phone,Notes/Area
94,Manor Apartments,,Wilmington,DE,19810,,North Wilmington
95,Silverbrook Apartments,,Wilmington,DE,19810,,North Wilmington
96,Fox Hollow Apartments,,Bear,DE,19701,,Bear area
97,Carriage House Apartments,,New Castle,DE,19720,,New Castle
98,Chesapeake Landing,,New Castle,DE,19720,,New Castle
99,Concord Terrace Apartments,,Wilmington,DE,19810,,North Wilmington
100,Creek Ridge Apartments,,Bear,DE,19701,,Bear area
101,Eagle Run Apartments,,Bear,DE,19701,,Bear area
102,Hunting Creek Apartments,,Wilmington,DE,19803,,Talleyville area
103,Kentshire Apartments,,Wilmington,DE,19810,,North Wilmington
104,Lincoln Knolls Apartments,,New Castle,DE,19720,,New Castle
105,Maple Leaf Apartments,,Newark,DE,19711,,Newark
106,Meadows of Bear,,Bear,DE,19701,,Bear
107,Mill Creek Apartments,,Bear,DE,19701,,Bear
108,New Castle Gardens,,New Castle,DE,19720,,New Castle
109,Northgate Apartments,,Wilmington,DE,19802,,Wilmington
110,Oak Hill Apartments,,Newark,DE,19711,,Newark
111,Park Place Apartments,,Wilmington,DE,19805,,Wilmington
112,Pennwood Crossing,,Wilmington,DE,19806,,Wilmington
113,Pinewood Apartments,,Bear,DE,19701,,Bear
114,Quail Run Apartments,,Newark,DE,19711,,Newark
115,Riverside Apartments,,Wilmington,DE,19801,,Wilmington - Riverfront
116,Rosemont Court Apartments,,Wilmington,DE,19802,,Wilmington
117,Sandy Brae Apartments,,Wilmington,DE,19810,,North Wilmington
118,Seaford Apartments,,Wilmington,DE,19801,,Wilmington
119,Spring Valley Apartments,,Newark,DE,19711,,Newark
120,Stone Mill Apartments,,Newark,DE,19702,,Newark
121,Summit Apartments,,Wilmington,DE,19803,,Wilmington
122,Tavistock Court Apartments,,Wilmington,DE,19810,,North Wilmington
123,The Flats at Greenhill,,Wilmington,DE,19805,,Wilmington
124,The Greene Apartments,,Wilmington,DE,19804,,Wilmington
125,The Landings at Becks Pond,,Newark,DE,19711,,Newark
126,The Orchard Apartments,,Wilmington,DE,19803,,Wilmington
127,The Pines Apartments,,Bear,DE,19701,,Bear
128,The Retreat at Bear,,Bear,DE,19701,,Bear
129,The Trails Apartments,,Bear,DE,19701,,Bear
130,Timber Creek Apartments,,Bear,DE,19701,,Bear
131,Townsend Village,,Townsend,DE,19734,,Townsend
132,University Plaza Apartments,,Newark,DE,19711,,Newark - near Univ of Delaware
133,Valley Green Apartments,,Wilmington,DE,19803,,Wilmington
134,Westhaven Apartments,,Wilmington,DE,19805,,Wilmington
135,Whitehall Commons,,Wilmington,DE,19801,,Wilmington
136,Windmill Knoll Apartments,,Bear,DE,19701,,Bear
137,Woodbrook Apartments,,Wilmington,DE,19804,,Wilmington
138,Woodlawn Commons,,Wilmington,DE,19802,,Wilmington
139,Yorkshire Apartments,,Wilmington,DE,19802,,Wilmington
140,Zenith Apartments,,Wilmington,DE,19801,,Wilmington - Downtown
141,Hockessin Village Apartments,,Hockessin,DE,19707,,Hockessin
142,Kirkwood Highway Apartments,,Newark,DE,19702,,Newark - Kirkwood Hwy
143,Pike Creek Commons,,Pike Creek,DE,19808,,Pike Creek
144,Sharpley Commons,,Wilmington,DE,19803,,Wilmington - Sharpley area
145,Silverside Commons,,Wilmington,DE,19810,,North Wilmington
146,Stoney Creek Apartments,,Bear,DE,19701,,Bear
147,Talleyville Commons,,Talleyville,DE,19803,,Talleyville
148,Twin Pines Apartments,,Wilmington,DE,19809,,Wilmington
149,Wawaset Park Apartments,,Wilmington,DE,19806,,Wilmington - Historic area
150,Willow Run Apartments,,Wilmington,DE,19804,,Wilmington
